system_time,timestamp,raw_adc,voltage,smoothed,baseline_diff,signal_strength
2025-07-03T18:01:00.427964,10100,400,1.955,400.0,15.73,15.73
2025-07-03T18:01:00.527906,10200,400,1.955,400.0,15.73,15.73
2025-07-03T18:01:00.626883,10300,400,1.955,400.0,15.73,15.73
2025-07-03T18:01:00.729096,10400,400,1.955,400.0,15.73,15.73
2025-07-03T18:01:00.827866,10500,400,1.955,400.0,15.73,15.73
2025-07-03T18:01:00.930288,10600,400,1.955,400.0,15.73,15.73
2025-07-03T18:01:01.027875,10700,400,1.955,400.0,15.73,15.73
2025-07-03T18:01:01.133385,10800,400,1.955,400.0,15.73,15.73
2025-07-03T18:01:01.231991,10900,399,1.95,399.9,15.63,15.63
2025-07-03T18:01:01.329556,11000,399,1.95,399.8,15.53,15.53
2025-07-03T18:01:01.427782,11100,399,1.95,399.7,15.43,15.43
2025-07-03T18:01:01.527876,11200,399,1.95,399.6,15.33,15.33
2025-07-03T18:01:01.627875,11300,398,1.945,399.4,15.13,15.13
2025-07-03T18:01:01.727871,11400,398,1.945,399.2,14.93,14.93
2025-07-03T18:01:01.826959,11500,398,1.945,399.0,14.73,14.73
2025-07-03T18:01:01.927888,11600,397,1.94,398.7,14.43,14.43
2025-07-03T18:01:02.031777,11700,397,1.94,398.4,14.13,14.13
2025-07-03T18:01:02.132715,11800,396,1.935,398.0,13.73,13.73
2025-07-03T18:01:02.234673,11900,396,1.935,397.7,13.43,13.43
2025-07-03T18:01:02.332962,12000,395,1.931,397.3,13.03,13.03
2025-07-03T18:01:02.430574,12100,395,1.931,396.9,12.63,12.63
2025-07-03T18:01:02.531063,12200,395,1.931,396.5,12.23,12.23
2025-07-03T18:01:02.627915,12300,394,1.926,396.1,11.83,11.83
2025-07-03T18:01:02.726951,12400,394,1.926,395.7,11.43,11.43
2025-07-03T18:01:02.827898,12500,393,1.921,395.2,10.93,10.93
2025-07-03T18:01:02.927908,12600,393,1.921,394.8,10.53,10.53
2025-07-03T18:01:03.026945,12700,392,1.916,394.3,10.03,10.03
2025-07-03T18:01:03.127917,12800,392,1.916,393.9,9.63,9.63
2025-07-03T18:01:03.227919,12900,391,1.911,393.4,9.13,9.13
2025-07-03T18:01:03.327920,13000,391,1.911,393.0,8.73,8.73
2025-07-03T18:01:03.427382,13100,390,1.906,392.5,8.23,8.23
2025-07-03T18:01:03.527922,13200,390,1.906,392.0,7.73,7.73
2025-07-03T18:01:03.627919,13300,390,1.906,391.6,7.33,7.33
2025-07-03T18:01:03.730294,13400,389,1.901,391.1,6.83,6.83
2025-07-03T18:01:03.827923,13500,389,1.901,390.7,6.43,6.43
2025-07-03T18:01:03.927323,13600,388,1.896,390.2,5.93,5.93
2025-07-03T18:01:04.027932,13700,388,1.896,389.8,5.53,5.53
2025-07-03T18:01:04.127930,13800,387,1.891,389.3,5.03,5.03
2025-07-03T18:01:04.227098,13900,387,1.891,388.9,4.63,4.63
2025-07-03T18:01:04.327943,14000,387,1.891,388.5,4.23,4.23
2025-07-03T18:01:04.428536,14100,386,1.887,388.1,3.83,3.83
2025-07-03T18:01:04.529403,14200,386,1.887,387.7,3.43,3.43
2025-07-03T18:01:04.628766,14300,386,1.887,387.3,3.03,3.03
2025-07-03T18:01:04.727949,14400,385,1.882,386.9,2.63,2.63
2025-07-03T18:01:04.827946,14500,385,1.882,386.5,2.23,2.23
2025-07-03T18:01:04.927945,14600,385,1.882,386.2,1.93,1.93
2025-07-03T18:01:05.027953,14700,384,1.877,385.8,1.53,1.53
2025-07-03T18:01:05.127949,14800,384,1.877,385.5,1.23,1.23
2025-07-03T18:01:05.227951,14900,384,1.877,385.2,0.93,0.93
2025-07-03T18:01:05.327958,15000,384,1.877,384.9,0.63,0.63
2025-07-03T18:01:05.427329,15100,384,1.877,384.7,0.43,0.43
2025-07-03T18:01:05.530080,15200,384,1.877,384.5,0.23,0.23
2025-07-03T18:01:05.627972,15300,384,1.877,384.3,0.03,0.03
2025-07-03T18:01:05.727963,15400,384,1.877,384.2,-0.07,0.07
2025-07-03T18:01:05.827967,15500,384,1.877,384.1,-0.17,0.17
2025-07-03T18:01:05.927989,15600,384,1.877,384.0,-0.27,0.27
2025-07-03T18:01:06.027473,15700,384,1.877,384.0,-0.27,0.27
2025-07-03T18:01:06.128000,15800,384,1.877,384.0,-0.27,0.27
2025-07-03T18:01:06.227979,15900,384,1.877,384.0,-0.27,0.27
2025-07-03T18:01:06.333336,16000,384,1.877,384.0,-0.27,0.27
2025-07-03T18:01:06.430780,16100,384,1.877,384.0,-0.27,0.27
